k,Run 1 (in μs),Run 2 (in μs),Run 3 (in μs),Run 4 (in μs),Run 5 (in μs),Average
1,38831,44514,27668,27931,34379,34664.6
2,56,49,74,45,66,58
3,59,64,61,55,60,59.8
4,66,57,50,75,62,62
5,60,59,60,78,90,69.4
6,89,56,85,50,89,73.8
7,89,60,80,56,94,75.8
8,102,90,48,55,88,76.6
9,90,91,88,82,88,87.8
10,85,124,107,106,93,103
11,88,120,89,139,156,118.4
12,96,153,86,84,92,102.2
13,93,125,153,108,135,122.8
14,92,144,154,91,139,124
15,97,124,128,107,135,118.2
16,100,72,79,101,80,86.4
17,163,156,120,120,88,129.4
18,85,153,83,96,86,100.6
19,74,127,129,85,148,112.6
20,62,86,99,88,74,81.8
21,123,83,71,90,70,87.4
22,489,150,126,136,96,199.4
23,326,335,219,136,262,255.6
24,412,242,352,311,172,297.8
25,156,324,260,348,140,245.6
26,129,134,298,126,292,195.8
27,99,171,188,105,181,148.8
28,153,200,148,242,334,215.4
29,94,328,338,290,191,248.2
30,142,306,151,264,119,196.4
31,230,143,163,217,323,215.2
32,573,159,281,340,223,315.2
33,685,285,326,168,185,329.8
34,623,291,294,210,145,312.6
35,623,108,127,119,296,254.6
36,623,115,324,131,176,273.8
37,598,352,658,643,457,541.6
38,469,653,713,452,420,541.4
39,428,651,355,673,451,511.6
40,365,343,488,363,640,439.8
41,289,421,373,361,530,394.8
42,233,598,447,731,605,522.8
43,219,615,632,542,686,538.8
44,105,455,533,571,366,406
45,123,437,581,609,397,429.4
46,195,624,388,495,402,420.8
47,167,611,748,490,670,537.2
48,159,591,374,423,752,459.8
49,178,391,728,413,440,430
